,LogisticRegression,XGBoost,RandomForest,GradientBoost,NaiveBayes,LightGBM
Anxiety,0.654,0.632,0.629,0.659,0.628,0.643
Depression,0.642,0.609,0.609,0.637,0.632,0.631
ADHD,0.656,0.624,0.602,0.654,0.669,0.626
Behavior Problems,0.665,0.61,0.591,0.667,0.644,0.641
